first_author	polarization	average_rating	ratings
Allen Eskens	0.910086619864377	3.9300000000000006	35689
Allen Ginsberg	1.0026783883772703	4.14	71968
Allen Say	1.1825793076463846	3.92993009224343	34474
Allie Brosh	1.0328389493304884	4.17	118910
Allison Pearson	1.1874827496716782	3.3	15456
Ally Carter	1.0297977187408953	4.063104690643393	534852
Ally Condie	1.2107817794301636	3.639477943630877	721991
Alton Brown	0.9402978818911315	4.21	15870
Alvin Schwartz	1.0719725956781891	4.05	38879
Alwyn Hamilton	0.9642306760970432	3.96	16789
Alyson Noel	1.3005663797921352	3.6770964218216284	519063
Alyson Richman	0.8404935976877269	4.2	33427
Amanda Berry	0.8553703308595024	4.27	3799
Amanda Brown	1.2501655970233116	3.6799999999999997	11094
Amanda Coplin	1.0352714324478922	3.75	30121
Amanda Foreman	1.0936775720439265	3.7900000000000005	11621
Amanda Grange	1.1541619454449845	3.63	15151
Amanda Hocking	1.0774223879845028	3.9438193141442777	200392
Amanda Knox	1.082031812164572	3.8	11891
Amanda Lindhout	0.898635537535934	4.2	29369
Amanda Palmer	1.1782636218159956	3.97	20075
Amazon	1.416392754217488	3.7048384656942193	18510
Ambrose Bierce	1.0035094099100075	4.02	15332
Amelia Atwater-Rhodes	0.9919529011733788	4.15	18231
America's Test Kitchen	0.901547589838287	4.31	12081
American Psychiatric Association	1.2128843496944577	3.87	10114
Ami McKay	0.91438085689904	3.9287958634007523	39356
Amie Kaufman	0.9531334677332705	4.172724216592628	99948
Amin Maalouf	0.8817778094733556	4.2	7600
Amish Tripathi	1.0030321100998263	3.894113031189567	161336
Amitav Ghosh	0.9636001984964269	3.9293033336526486	41756
Amor Towles	0.9123065341548409	4.106488915408271	108935
Amy  Stewart	0.9163108983926236	3.78	13775
Amy A. Bartol	0.9333089295631528	4.251913728036359	73929
Amy Bloom	1.0990675767154716	3.2100000000000004	11205
Amy Brown	1.151473533768432	4.04	8637
Amy Chua	1.0330604714300267	3.61	34710
Amy Efaw	1.2080079088485718	3.73	17238
Amy Ewing	1.112198781161072	3.86	21247
Amy Gentry	1.011838436934175	3.53	12121
Amy Harmon	0.8718296712941933	4.3219120796434565	69108
Amy Lichtenhan	1.0011830911726967	4.06	19241
Amy Plum	1.0709355980208026	4.058813161994883	69959
Amy Poehler	1.1180016609824273	3.81	251082
Amy Schumer	1.025850310054497	3.76	47809
Amy Sedaris	1.090337941568538	3.87	34212
Amy Tan	1.03365501561725	3.8933105779086383	758061
Amy Tintera	1.0237629787830747	3.92	23300
Amy Waldman	1.0421022828837743	3.66	10096
Amy Zhang	1.0761589790067658	3.88	12411
Anaïs Nin	1.0876898371811297	3.6899999999999995	10561
Anatoli Boukreev	0.9698819537518453	3.89	9584
Anchee Min	0.975538531263886	3.87	17318
Anderson Cooper	1.1748267534154258	3.79	10758
André Aciman	1.0418501818717854	4.13	10154
Andre Agassi	0.89215867755374	4.18	47185
Andre Dubus III	1.0999062424479555	3.83	55381
Andre Norton	1.0332853145951104	3.9399999999999995	13092
Andrea Cremer	1.0957441578931821	4.062810931399889	134475
Andrea Kettenmann	1.0091980224493313	4.15	8260
Andrea Levy	0.9750733377882053	3.8899999999999997	17205
Andrew  Peterson	0.9685934089455877	4.03	7849
Andrew  Smith	1.1627364521006358	3.9161936626648304	30486
Andrew Clements	1.1348375017550427	3.8240207043864367	118912
Andrew Davidson	1.103582239305513	3.96	32699
Andrew Hunt	0.8148794003744264	4.31	9416
Andrew Loomis	1.2255571800007823	3.99	12735
Andrew Ross Sorkin	0.9363287890914285	4.09	25493
Andrew Solomon	0.9305891010487307	4.26	11879
Andrew Stanton	0.7844849584898725	4.47	12160
Andrew Williamson	0.7259236122203813	4.55	22847
Andrzej Sapkowski	0.879085728125073	4.2	36262
Andy Andrews	1.0437347397380257	4.135597925564368	16390
Andy Cohen	1.005986360651479	3.7899999999999996	9789
Andy Goldsworthy	1.2708389776557156	3.95	20745
Andy Warhol	1.276737073624382	3.77	24879
Andy Weir	0.7829606369272208	4.383860723000494	433582
Angela Carter	1.0114504888978588	4.02	20438
Angela Duckworth	0.9713694024609634	4.08	7971
Angela Elwell Hunt	0.7024500847396025	4.52	13226
Angela Flournoy	0.9386228611456269	3.64	8645
Angela Johnson	1.081694089325022	3.96	12689
Angela Marsons	0.9918189286168817	4.02	9547
Angie Sage	1.0457141643962786	3.9657695484784563	271172
Angie Thomas	0.5738275710977334	4.62	32610
Anita Amirrezvani	0.9254275113055946	3.95	11871
Anita Brookner	1.084523835515713	3.56	11066
Anita Diamant	0.9928190734342114	4.097788436111565	495387
Anita Shreve	1.0222183413282262	3.497609212089217	257618
Ann Aguirre	1.0080542559560297	4.0360772496360475	98227
Ann Brashares	1.0961407009967332	3.759021587449526	781102
Ann Cleeves	0.9312284127795106	3.8500000000000005	10617
Ann Hood	0.9612319743189217	3.7000000000000006	5178
Ann Leary	0.9602911020523688	3.66	16490
Ann Leckie	0.961959503316277	4.027840029383511	70788
Ann M. Martin	1.0307298513928886	4.06844327176781	56850
Ann McGovern	0.9045948038674596	4.28	25518
Ann Packer	1.088172497852234	3.41	18445
Ann Patchett	1.015351359772827	3.853908815417336	484753
Ann Rule	0.9118991930684266	4.1528702450759285	53208
Ann Voskamp	1.1721060205637392	4.03	33960
Ann-Marie MacDonald	1.0763348865409386	3.9719127124091442	60673
Anna Banks	1.0512790903117428	4.026690446918668	57751
Anna Carey	1.152045680204593	3.7542446215616945	50061
Anna Dewdney	0.9311472520697806	4.273128862793572	45304
Anna Gavalda	0.9863416832100076	4.1	7318
Anna Godbersen	1.137581046032698	3.7562456600998075	126443
Anna Jean Mayhew	0.9414522922867805	3.8200000000000003	12446
Anna Kendrick	0.9179559758629793	3.91	28719
Anna Lee Waldo	0.9136556984802345	4.23	13504
Anna Maxted	1.172599386305993	3.53	13240
Anna Quindlen	0.9876914494879463	3.811287471292155	198552
Anna Sewell	1.0769635823326222	3.94	183255
Anna Todd	1.3194616039953622	3.8203853032027317	73812
AnnaLisa Grant	1.2641291186853114	3.75	8057
Anne Bishop	0.8899674489073516	4.278567049057554	142873
Anne Brontë	1.0479969846353048	3.8154925321961985	93334
Anne Byrn	1.1496369077106543	3.95	9660
Anne Enright	1.2656434553194709	3.04	14292
Anne Fadiman	0.9382016109339668	4.14	47785
Anne Fortier	1.0556127660658454	3.9	19328
Anne Frank	1.0282147216188064	4.100693965923662	1983253
Anne Lamott	0.9506674559156411	4.105125961427905	165249
Anne McCaffrey	0.9440608392852345	4.101747137013865	454246
Anne Michaels	1.112387029618743	3.95	10642
Anne Morrow Lindbergh	0.9703985132282781	4.18	30741
Anne Rampling	1.2160154275158614	3.55	11846
Anne Rice	1.0855248063240923	3.8752203873579205	1276752
Anne Rivers Siddons	0.9566080633352366	3.96	16364
Anne Sexton	0.8688268561318316	4.28	11888
Anne Tyler	1.000619063715884	3.6821300858168704	248436
Annette Curtis Klause	1.1911111866360775	3.77	33500
Annette Pollert	0.9272261141367022	4.36	13626
Annie Barrows	0.940762295899373	3.75	9815
Annie Dillard	1.088774981737898	4.1	14685
Annie Proulx	1.0867340552252522	3.858064177023612	134129
Anonymous	0.9190085688024829	4.323363140824024	427633
Anthony  Ryan	0.8169092018634921	4.261864124166291	79764
Anthony Bourdain	0.9407731828103701	3.9533444082038804	180890
Anthony Burgess	1.0811531955961313	3.9800000000000004	431195
Anthony Doerr	0.8488596105130499	4.31	470001
Anthony Hope	1.0207501577091969	3.8699999999999997	12530
Anthony Horowitz	0.9634041230960635	4.073325202582885	400947
Anthony Kiedis	0.9915565990551286	4.1	45203
Anthony Marra	0.9943690680448443	4.13	23374
Anthony Robbins	1.0128877619521783	4.139189634683941	52174
Antoine de Saint-Exupéry	0.9425094888771401	4.28	738757
Anton Chekhov	0.9799019139745241	4.0111186122412485	89468
Anton DiSclafani	1.0838804744760515	3.34	15769
Antonia Fraser	0.9962633756933233	3.994630597314897	37317
Antony Beevor	0.8114379490951465	4.283828893030735	27363
Anya Seton	0.950927686753741	4.18	22577
Apostolos Doxiadis	0.941583522394871	4.01	11004
April Henry	1.0342007175914287	3.99	13108
Aprilynne Pike	1.1072229083461247	3.934230657923528	141673
Aravind Adiga	1.0310270557593157	3.71	114531
Ariana Franklin	1.0192021738546586	3.95	27332
Arianna Huffington	1.1368744772443051	3.68	8261
Arina Tanemura	1.2004920396199563	4.0194532611686995	32703
Aristophanes	1.0808293543996306	3.84	25758
Aristotle	1.068703648420095	3.907988929591557	61967
Arkady Strugatsky	0.8990231256318741	4.21	17689
Arlene Mosel	0.9765560743061196	4.21	52536
Armistead Maupin	0.9495642757119339	4.095137606454505	33465
Arnaldur Indriðason	0.9209464991426342	3.860253848752474	20721
Arnold Lobel	0.955097330678658	4.238613710139393	162347
Aron Ralston	1.070410498144078	3.82	14350
Art Spiegelman	0.8006885070235595	4.404796189651193	350939
Arthur C. Clarke	0.956033478874793	4.0169846695948	484723
Arthur Conan Doyle	0.8410043430909663	4.2275851739619235	949087
Arthur Golden	0.9854829528333794	4.08	1300209
Arthur Hailey	0.9990200578722115	3.92	30040
Arthur Koestler	0.9610119082731112	4.06	16818
Arthur Miller	1.1584618025252706	3.5422746158851166	390378
Arthur Nersesian	1.1854635717049675	3.56	8980
Arthur Ransome	1.0930084522797117	3.9799999999999995	21716
Arturo Pérez-Reverte	1.042714105497181	3.813398965459703	35958
Arundhati Roy	1.1265271672610548	3.9099999999999997	165378
Ashlee Vance	0.9148210990884748	4.25	55606
Ashwin Sanghi	1.1083634534751385	3.5944653622813183	27037
Åsne Seierstad	0.9889834755162701	3.76	30531
Assata Shakur	0.7570093502581288	4.48	10518
Astrid Lindgren	0.9692108160127884	4.146323858116123	167771
Atsushi Ohkubo	0.8986260700725358	4.336707902679959	43732
Atul Gawande	0.8409126551236671	4.2617712511321	123664
Audre Lorde	0.9735548199537356	4.2	9549
Audrey Niffenegger	1.1342222953789902	3.893346567509111	810024
Audrey Penn	0.8224533518685126	4.41	51219
Audrey Wood	0.9474587557862816	4.27	37773
August Wilson	1.0789879126635173	3.8399999999999994	11991
Augusten Burroughs	1.1094442339078527	3.786835831950577	483334
Augustine of Hippo	1.1627848143494952	3.88	25674
Aurora Rose Reynolds	0.8919163352564531	4.234511000680455	96994
Austin Grossman	1.0355588150658313	3.68	9878
Austin Kleon	1.271308758589267	3.86	93625
Ava Dellaira	1.1616400532189202	3.8200000000000003	38701
Avery Monsen	0.9290621527416806	4.24	19423
Avi	1.1370192876024285	3.7631822786283986	85885
Aya Nakahara	1.0341718042496377	4.22	13801
Ayaan Hirsi Ali	0.9341811856637228	4.2	58432
Ayana Mathis	1.0517360054193956	3.46	28058
Ayn Rand	1.3406490500163166	3.738202846703287	654652
Ayşe Kulin	1.0377413427457796	3.81	6870
Azar Nafisi	1.1673217755110374	3.57	94696
Aziz Ansari	0.9504693404316094	3.8500000000000005	94231
B.A. Paris	1.0807228619470586	3.93	57865
B.A. Shapiro	1.0978991903715454	3.69	47873
B.J. Novak	1.0735406545546335	3.881626812100872	42906
Babe Walker	1.2592850506212478	3.73	8242
Banana Yoshimoto	1.0238500659781067	3.8299999999999996	25797
Banksy	1.336926137217856	3.83	149453
Barack Obama	1.169291342037925	3.7545251298815017	239834
Barbara Ann Brennan	0.9151028320077215	4.27	9016
Barbara Claypole White	1.0019562245632982	3.97	10090
Barbara Cooney	0.7776926132732667	4.45	20403
Barbara Delinsky	1.0280833451881173	3.7677585960567668	41996
Barbara Demick	0.7176891950726888	4.42	37284
Barbara Ehrenreich	1.247558363627463	3.5999999999999996	152786
Barbara Kingsolver	1.0695183288336618	3.9817941713465084	1011074
Barbara Park	1.2394340784550877	3.9	16918
Barbara Robinson	0.9790390522563568	4.18	32516
Barbara Shook Hazen	0.9371927205692447	4.3	33355
Barbara Taylor Bradford	0.9613367014648915	4.16	31309
Barbara Taylor Sissel	1.0548225017238948	3.52	7668
Barbara W. Tuchman	0.9824085222978408	4.153221369218067	56923
Barry Lyga	1.043978414596417	4.02	25487
Barry Schwartz	1.0569879991075477	3.8399999999999994	20990
Bart D. Ehrman	1.0429783336251985	3.91	10075
Barthe DeClements	1.1404176035049636	3.9400000000000004	10276
Baruch Spinoza	1.0764976184564004	4.01	9342
Beatrice Sparks	1.1976511335923974	3.77	196677
Beatrix Potter	0.9419217352710525	4.2307334789910485	245324
Beatriz Williams	0.9739548855524646	3.925774453791163	34831
Becca Fitzpatrick	1.1127994262877485	4.0685763608731	990265
Becky  Chambers	0.923508047672194	4.18	12969
Becky Albertalli	0.8826741474967527	4.26	53570
Bella Andre	1.0986851056884193	3.8699999999999997	18776
Bella Forrest	1.0553350511655395	4.006691650539416	93527
Belle Aurora	1.060919571527303	4.10712379945069	58619
Belva Plain	0.996773994942591	3.98	23790
Ben Aaronovitch	0.8372878763215642	4.0833348022188805	77156
Ben Avery	0.8650593634795233	4.11	12192
Ben Carson	0.9330603730094744	4.21	9871
Ben Fountain	1.0752217954073444	3.8100000000000005	20778
Ben Goldacre	0.9956968075691692	4.07	22692
Ben H. Winters	0.9029643576529491	3.8077389277389275	24453
Ben Hatke	1.0879425565985377	4.04	10832
Ben Horowitz	0.9483154951657395	4.2	19492
Ben Macintyre	0.9645376406126143	3.95	8112
Ben Mezrich	0.9632629020336639	3.7354805646876814	25855
Ben Mikaelsen	1.1641041532692131	3.8500000000000005	17706
Ben Okri	1.2340093283078752	3.73	8251
Ben Sherwood	1.0270154276320465	4.01	46361
Benedict Freedman	0.9418923189808738	4.13	12826
Benedict Jacka	0.9219522421630226	3.89	12609
Benjamin Alire Sáenz	0.8828846582389007	4.34	108884
Benjamin Franklin	1.1250552381639731	3.83	33061
Benjamin Graham	0.892695966426219	4.27	29825
Benjamin Hoff	1.0357164565547186	3.9934310318449064	91506
Bernadette Rossetti-Shustak	0.8448827417777779	4.39	10808
Bernard Cornwell	0.8054532057062144	4.238325837823946	249038
Bernard Waber	0.9869595509546759	4.13	24284
Bernhard Schlink	1.0417475436982266	3.7299999999999995	119911
Bert Dodson	1.1460639474809664	4	10004
Bertolt Brecht	1.1550893098878854	3.66	9705
Bertrand Russell	1.0249361869587075	4.042087467098603	34573
Beryl Markham	0.9315636080257889	4.18	19738
Beth Fantaskey	1.167185412233421	3.85	32763
Beth Harbison	1.2030904595536205	3.625500530020929	36791
Beth Hoffman	0.9831152867044148	3.92	54341
Beth Moore	0.7764826023870627	4.439798478305573	19452
Beth Revis	1.1026454741843845	3.898972789452815	161408
Bethany McLean	0.8761309929410785	4.14	10525
Bette Greene	1.117164535282719	3.6599999999999997	12108
Better Homes and Gardens	1.021871882335284	4.14	93640
Betty  Smith	0.9067337079837876	4.24	291909
Betty Crocker	0.942136961932144	4.25	27892
Betty Edwards	1.3255684466983253	3.84	218264
Betty Friedan	1.021847472010301	3.85	9823
Betty MacDonald	0.9878291262455393	4.17681913286063	68824
Betty Mahmoody	0.9909410630566433	4.04	16650
Betty White	1.178615566940652	3.65	22405
Bev Vincent	0.959225826395225	4.29	32163
Beverly  Lewis	0.9707050683248574	4.126841575183805	29787
Beverly Cleary	1.0196679073621537	3.9889972914320766	427163
Bill Browder	0.7846698484110913	4.39	8729
Bill Bryson	0.9686329696105392	4.016922683829778	888417
Bill Buford	0.9775479626503589	3.8899999999999997	18583
Bill Clegg	1.0048127216069578	3.81	17129
Bill Clinton	1.1425212779465406	3.72	35852
Bill Dedman	1.0731263241039581	3.7600000000000002	22819
Bill Finger	1.1934933978248077	3.9899999999999998	9593
Bill Hybels	0.9572074608392176	4.14	8422
Bill Martin Jr.	1.0223407054412545	4.194359314910995	302676
Bill O'Reilly	1.0283568847335964	4.020871283679676	149274
Bill Simmons	1.0315789123034997	4.16	24245
Bill Watterson	0.529582284367564	4.669523188429342	430883
Bill Willingham	0.9534989229288139	4.133827934218915	268223
Billie Letts	0.9711162321199042	3.994866604394627	224820
Billy Collins	0.922668745088333	4.24	10999
Billy Crystal	1.0423127253949371	3.89	8225
Bisco Hatori	0.8747445356979127	4.370286058450684	174335
Black Elk	0.9534863892935956	4.13	8888
Blaine Harden	0.9348243402867175	3.9900000000000007	37392
Blake Crouch	0.93129223488202	4.04320446429748	151782
Blanche Fisher Wright	0.8811306412242297	4.33	31643
Blue Balliett	1.148985828600583	3.7099999999999995	22167
Bo Hampton	1.0261530519148654	3.96	43183
Bob Dylan	1.0677025327553797	3.9799999999999995	35468
Bob Gale	1.0253313014063679	4.11	9269
Bob Goff	0.9646515083734478	4.25	25791
Bob Grant	1.0009620147053704	4.22	10332
Bob McCabe	0.7040977415942893	4.56	27361
Bob Spitz	0.986470330473376	4.13	8120
Bohumil Hrabal	0.9530667085264155	4.17	5468
Booker T. Washington	1.0019331079912333	4.09	15038
BookRags	0.6246557431590379	4.59	18960
Boris Pasternak	1.0338203252583331	4.03	59973
Brad Meltzer	1.0526364005073752	3.9197765565116787	41487
Brad Stone	0.9168546376149673	4.06	20539
Brad Thor	0.8808353033727132	4.177113510615894	156699
Brady Udall	1.124431859483075	3.5	9773
Bram Stoker	1.0328796670650866	3.98	618973
Brandon Mull	0.9390560770122917	4.215233055684271	442405
Brandon Sanderson	0.7379743402463028	4.376683468621469	1306594
Brandon Stanton	0.7205612533318557	4.5	25141
Bree Despain	1.1524906483217754	3.882634072975256	48537
Breena Clarke	1.0225323918749551	3.4700000000000006	11642
Brené Brown	0.9506432811426772	4.203095449434878	118293
Brenna Yovanoff	1.2002405132780625	3.56	15945
Brennan Manning	0.9449759366352853	4.23	24568
Brent Weeks	0.85828249229408	4.273102711766291	400772
Bret Easton Ellis	1.164859161153172	3.6924380401905106	296886
Bret Lott	1.0629336054103158	3.64	31851
Brian  McClellan	0.799673559013252	4.263211191102298	46394
Brian Azzarello	1.0893094997051274	3.933069922908979	51757
Brian Coffey	1.0539353079901745	3.8540610471762826	26242
Brian Froud	1.2819432759686331	3.8852039169561525	73118
Brian Greene	0.9734002613680957	4.075737428380305	68766
Brian Herbert	1.1968313235897512	3.645532236537466	73426
Brian Jacques	0.9639989537544733	4.04091995046587	369846
Brian K. Vaughan	0.8796178961333615	4.274929658161276	720837
Brian Kilmeade	1.0505667811417403	3.77	8428
Brian L. Weiss	0.9960605969908513	4.17	18956
Brian Lumley	1.0975074216320588	3.99	14397
Brian Michael Bendis	1.0452863879792547	4.007037998583904	25422
Brian Selznick	0.9516366322764872	4.19255331580485	188265
Brian Sibley	0.7912644285649908	4.48	45081
Brian Staveley	0.8560938410582507	4.153691042975941	31506
Brian Tracy	1.1181355804442963	3.84	18288
Brigid Kemmerer	1.0049746620595628	4.0377586305933715	34818
Brit Bennett	0.8932427645780849	3.87	19784
Brittainy C. Cherry	0.9650499846697719	4.23586939788951	40275
Brodi Ashton	1.138354856155238	3.8514971740551345	52018
Brother Andrew	0.869083012677998	4.32	22970
Brother Lawrence	0.8807827676447841	4.32	23889
Bruce Campbell	1.0052058566957602	3.99	11853
Bruce Coville	1.022095198245944	4.04	14976
Bruce Degen	1.005640579582012	4.17	15478
Bruce H. Wilkinson	1.209155025272008	3.9512318540024887	67508
Bruce Springsteen	0.9427052020915441	4.18	14276
Bruno Ernst	1.025921899706516	4.15	11103
Brunonia Barry	1.0910772721731914	3.46	20534
Bryan Burrough	0.8897698796910677	4.22	19176
Bryan J.L. Glass	0.7362112673887493	4.43	18430
Bryan Konietzko	0.824345360866424	4.41	14288
Bryan Lee O'Malley	0.9102642227724013	4.239162573206802	304958
Bryan Stevenson	0.6202535863940788	4.58	27173
Bryce Courtenay	0.849455952201091	4.34	57312
Bryn Greenwood	0.9779838816183345	4.12	30089
Brynne Stephens	0.7330610699657156	4.44	29556
Burton G. Malkiel	0.9634132451425056	4.05	12774
Byron Katie	1.0341065603691122	4.15	12568
C.C. Hunter	0.9131631365695563	4.26515249414624	202434
C.G. Jung	0.9556329312067355	4.185742493082363	29273
C.J. Box	0.9535655902966226	3.91	10659
C.J. Redwine	1.1931548806595076	3.69	22745
C.J. Roberts	1.017939817275274	4.17746071553284	126004
C.J. Sansom	0.8500115400199998	4.165416114124975	74655
C.S. Friedman	1.0753792007040155	3.9300000000000006	13994
C.S. Lewis	0.9636377373254515	4.12861572684118	3924984
C.S. Pacat	0.8784697281634158	4.274579336549386	53689
Caitlin Doughty	1.0101728892715482	4.04	10979
Caitlin Moran	1.1876152002548246	3.722230775389754	87427
Caleb Carr	0.9883726942862655	4.0341363700540045	113324
Camilla Läckberg	1.0145307744210463	3.7478302518507496	53762
Camille Pagán	1.0421418890127387	3.82	19073
Cammie McGovern	1.1185759605781251	3.7	11559
Camron Wright	0.8418022814285571	4.23	16153
Candace Bushnell	1.2876321525505352	3.3335315018730847	176180
Candice Millard	0.9295406748101639	4.175818465587417	65354
Cara Lockwood	1.1827991076915314	3.6600000000000006	9151
Caragh M. O'Brien	1.0542160167327665	3.8975764363636363	68750
Caralyn Buehner	0.9474626141413491	4.23	15697
Carl Bernstein	0.9056881566504794	4.17	30919
Carl Hiaasen	0.9733509242776741	3.813933531808606	317084
Carl R. Rogers	1.0092588683512358	4.11	9988
Carl Sagan	0.9074505003530384	4.23421068100757	251774
Carlo Collodi	1.1202927652358814	3.86	48961
Carlos Castaneda	1.0580196033319504	3.9768143712574844	40080
