Country,Region,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
Bahrain,Middle East/Central Asia,1.32,0.82,"$24,299.00",0.52,0.45,0.16,6.19,0.07,7.49,0.01,0,0,0.46,0.1,0.58,-6.91,4.33,12.96,3L
Bangladesh,Asia-Pacific,154.7,0.56,$857.50,0.29,0,0.08,0.26,0.02,0.72,0.25,0,0,0.05,0.07,0.38,-0.35,0.42,1.92,6
Barbados,Latin America,0.28,0.79,"$15,722.80",0.56,0.24,0.14,3.28,0.22,4.48,0.08,0,0.02,0.04,0.04,0.19,-4.29,2.58,23.79,5
Belarus,Northern/Eastern Europe,9.4,0.8,"$6,300.45",1.32,0.12,0.91,2.57,0.08,5.09,1.52,0.3,1.71,0.02,0.09,3.64,-1.45,2.94,1.4,6
Belgium,European Union,11.06,0.89,"$48,053.30",1.15,0.48,0.99,4.43,0.12,7.44,0.56,0.03,0.28,0.04,0.27,1.19,-6.25,4.3,6.27,6
Benin,Africa,10.05,0.48,$746.83,0.49,0.04,0.26,0.51,0.08,1.41,0.44,0.04,0.34,0.02,0.04,0.88,-0.53,0.81,1.61,6
Bermuda,North America,0.06,,"$70,626.30",,,,,,5.77,,,,,,0.13,-5.64,3.33,44.05,3T
Bhutan,Asia-Pacific,0.74,0.59,"$2,395.00",0.5,0.42,3.03,0.63,0.02,4.84,0.28,0.34,4.38,0.01,0.25,5.27,0.43,2.8,0.92,3B
Bolivia,Latin America,10.5,0.65,"$2,253.09",0.37,1.69,0.17,0.67,0.01,2.96,0.59,2.18,13.86,0.05,0.06,16.73,13.77,1.71,0.18,5
Bosnia and Herzegovina,Northern/Eastern Europe,3.83,0.73,"$4,708.85",0.63,0.27,0.44,1.74,0.02,3.12,0.3,0.19,1.13,0,0.02,1.63,-1.49,1.8,1.91,5
Botswana,Africa,2,0.69,"$7,743.50",0.3,0.89,0.24,2.36,0.01,3.83,0.06,2.49,0.63,0.27,0.02,3.47,-0.35,2.21,1.1,3B
Brazil,Latin America,198.66,0.75,"$13,237.60",0.62,0.85,0.6,0.91,0.04,3.11,1,1,6.82,0.17,0.09,9.08,5.97,1.8,0.34,5
British Virgin Islands,Latin America,0.03,,,,,,,,2.86,,,,,,2.05,-0.81,1.65,1.4,3T
Brunei Darussalam,Asia-Pacific,0.41,0.85,"$47,097.40",0.31,0.13,0.26,3.24,0.09,4.06,0.02,0.01,1.57,1.24,0.03,2.87,-1.19,2.34,1.41,3L
Bulgaria,European Union,7.28,0.78,"$7,615.28",0.6,0.13,0.35,2.08,0.03,3.32,1.33,0.08,1.2,0.12,0.13,2.86,-0.46,1.92,1.16,5
Burkina Faso,Africa,16.46,0.39,$671.07,0.47,0.17,0.36,0.12,0.03,1.21,0.5,0.17,0.25,0,0.05,0.98,-0.22,0.7,1.23,5
Burundi,Africa,9.85,0.39,$276.69,0.21,0.07,0.45,0.04,0,0.8,0.2,0.07,0.01,0.01,0.03,0.32,-0.48,0.46,2.48,4
Cabo Verde,Africa,0.49,0.64,"$3,801.45",,,,,,2.52,,,,,,0.62,-1.9,1.46,4.06,3T
Cambodia,Asia-Pacific,14.86,0.55,$877.64,,,,,,1.21,,,,,,1.09,-0.11,0.7,1.11,3T
Cameroon,Africa,21.7,0.5,"$1,271.21",0.54,0.1,0.21,0.19,0.08,1.17,0.55,0.1,0.92,0.08,0.05,1.69,0.52,0.68,0.69,6
Canada,North America,34.84,0.91,"$52,145.40",1.46,0.33,1.2,5,0.12,8.17,3.11,0.29,9.12,3.41,0.07,16.01,7.83,4.72,0.51,5
Cayman Islands,Latin America,0.06,,,0.36,0.45,1.23,3.56,0.05,5.65,0,0.02,0.19,0.11,0,0.32,-5.33,3.26,17.91,3L
Central African Republic,Africa,4.53,0.37,$495.04,0.3,0.55,0.26,0.08,0.02,1.24,0.29,0.57,6.98,0,0.04,7.87,6.62,0.72,0.16,6
Chad,Africa,12.45,0.39,"$1,161.22",0.36,0.75,0.27,0.01,0.01,1.46,0.35,1.15,0.41,0.07,0.05,2.03,0.57,0.84,0.72,6
Chile,Latin America,17.46,0.83,"$14,525.80",0.61,0.33,0.99,2.04,0.25,4.36,0.47,0.45,2.19,0.38,0.15,3.63,-0.73,2.52,1.2,6
China,Asia-Pacific,1408.04,0.72,"$5,560.94",0.55,0.13,0.19,2.32,0.08,3.38,0.46,0.1,0.22,0.04,0.12,0.94,-2.44,1.95,3.59,6
Colombia,Latin America,47.7,0.72,"$7,305.22",0.35,0.58,0.16,0.67,0.03,1.87,0.22,1.13,2.09,0.07,0.09,3.6,1.72,1.08,0.52,6
Comoros,Africa,0.72,0.5,$860.24,0.33,0.03,0.18,0.25,0.25,1.03,0.23,0.01,0.02,0.07,0,0.32,-0.7,0.59,3.17,3B
Congo,Africa,4.34,0.57,"$1,943.69",0.22,0.09,0.38,0.47,0.1,1.29,0.13,3.06,7.33,0.35,0.03,10.91,9.63,0.74,0.12,5
"Congo, Democratic Republic of",Africa,65.7,0.42,$338.63,0.15,0.01,0.51,0.07,0.01,0.82,0.13,0.32,2.52,0.05,0.05,3.07,2.25,0.47,0.27,6
Costa Rica,Latin America,4.8,0.76,"$8,979.96",0.4,0.21,0.68,1.37,0.08,2.84,0.38,0.3,0.63,0.12,0.1,1.53,-1.31,1.64,1.86,5
Côte d'Ivoire,Africa,19.84,,"$1,016.83",0.51,0.06,0.22,0.26,0.14,1.27,0.88,0.3,0.48,0.04,0.08,1.78,0.51,0.74,0.72,6
Croatia,Northern/Eastern Europe,4.31,0.82,"$14,522.80",0.74,0.13,0.72,2.21,0.06,3.92,0.68,0.19,1.55,0.33,0.06,2.8,-1.12,2.27,1.4,6
Cuba,Latin America,11.27,0.77,"$5,175.94",0.48,0.11,0.09,1.23,0.02,1.95,0.26,0.09,0.23,0.16,0.03,0.76,-1.19,1.13,2.56,6
Cyprus,European Union,1.13,0.85,"$31,454.70",0.77,0.08,0.23,2.94,0.14,4.21,0.18,0,0.06,0.06,0.05,0.34,-3.87,2.43,12.35,5
Czech Republic,European Union,10.66,0.87,"$21,676.30",0.62,0.24,0.74,3.42,0.03,5.19,0.94,0.07,1.31,0,0.13,2.46,-2.73,3,2.11,5
Denmark,European Union,5.6,0.92,"$61,413.60",1.18,0.47,0.77,2.6,0.24,5.51,2.38,0.01,0.34,1.8,0.25,4.78,-0.73,3.18,1.15,5
Djibouti,Africa,0.86,0.46,"$1,433.17",,,,,,2.19,,,,,,0.77,-1.42,1.27,2.84,2
Dominica,Latin America,0.07,0.72,"$7,088.01",0.64,0.15,0.14,1.47,0.17,2.57,0.4,0.01,0.52,0.1,0,1.03,-1.54,1.49,2.49,5
Dominican Republic,Latin America,10.28,0.71,"$6,085.89",0.35,0.12,0.12,0.86,0.04,1.53,0.22,0.11,0.16,0.02,0.05,0.56,-0.97,0.88,2.74,6
Ecuador,Latin America,15.49,0.73,"$5,192.88",0.3,0.3,0.24,1.08,0.18,2.17,0.32,0.3,1.41,0.11,0.06,2.2,0.03,1.25,0.99,5
Egypt,Africa,80.72,0.69,"$2,930.33",0.68,0.08,0.17,1.02,0.04,2.15,0.38,0,0,0.02,0.15,0.56,-1.59,1.24,3.86,5
El Salvador,Latin America,6.3,0.66,"$3,696.33",0.44,0.21,0.4,0.84,0.14,2.07,0.27,0.15,0.04,0.11,0.05,0.61,-1.46,1.2,3.37,5
Equatorial Guinea,Africa,0.74,0.58,"$24,064.00",0.27,0.02,0.26,3.17,0.22,3.97,0.13,0.15,3.1,1.01,0.02,4.4,0.44,2.29,0.9,3L
Eritrea,Africa,6.13,0.39,$439.73,0.1,0.18,0.06,0.03,0.01,0.42,0.07,0.18,0.09,0.93,0.02,1.3,0.88,0.24,0.32,5
Estonia,European Union,1.29,0.85,"$17,304.40",,,,,,6.86,,,,,,10.53,3.67,3.96,0.65,3T
Ethiopia,Africa,91.73,0.43,$379.38,0.31,0.12,0.46,0.07,0,1.02,0.31,0.12,0.05,0.04,0.06,0.58,-0.44,0.59,1.75,6
Fiji,Asia-Pacific,0.88,0.72,"$4,201.37",0.55,0.2,0.42,1.06,0.62,2.9,0.28,0.09,1.3,0.65,0.04,2.37,-0.52,1.67,1.22,5
Finland,European Union,5.41,0.88,"$50,960.20",,,,,,5.87,,,,,,13.44,7.57,3.39,0.44,3T
France,European Union,63.98,0.89,"$45,430.30",1.23,0.27,0.53,2.71,0.19,5.14,1.67,0.16,0.96,0.11,0.21,3.11,-2.04,2.97,1.66,6
French Guiana,Latin America,0.24,,,0.07,0.06,0.46,1.58,0.17,2.34,0.07,0.06,95.16,16.07,0,111.35,109.01,1.35,0.02,3L
French Polynesia,Asia-Pacific,0.27,,,0.75,0.65,0.12,2.39,0.82,4.73,0.19,0.03,0.73,0.42,0,1.37,-3.36,2.73,3.45,5
Gabon,Africa,1.63,0.67,"$11,989.00",0.53,0.13,0.79,0.43,0.11,2.02,0.25,3.6,19.5,2.93,0.03,26.31,24.29,1.16,0.08,3L
Gambia,Africa,1.79,0.44,$505.76,0.46,0.05,0.2,0.21,0.08,1.03,0.23,0.04,0.2,0.32,0.03,0.82,-0.21,0.6,1.25,5
Georgia,Middle East/Central Asia,4.36,0.75,"$3,710.70",0.39,0.2,0.1,0.83,0.02,1.58,0.12,0.36,0.61,0.05,0.04,1.17,-0.41,0.91,1.35,3B
Germany,European Union,82.8,0.91,"$46,822.40",1.1,0.14,0.48,3.28,0.05,5.3,1.23,0.06,0.68,0.07,0.24,2.27,-3.02,3.06,2.33,5
Ghana,Africa,25.37,0.57,"$1,627.90",0.56,0.07,0.65,0.43,0.19,1.97,0.67,0.26,0.29,0.06,0.07,1.35,-0.62,1.14,1.46,6
Greece,European Union,11.12,0.86,"$25,987.40",1.07,0.35,0.24,2.58,0.08,4.38,1.01,0.14,0.23,0.17,0.06,1.61,-2.77,2.53,2.73,5
Grenada,Latin America,0.1,0.74,"$7,410.48",,,,,,2.98,,,,,,1.96,-1.01,1.72,1.52,3L
Guadeloupe,Latin America,0.46,,,0.11,0.03,0.16,2.61,0.31,3.23,0.11,0.03,0.13,0.18,0,0.45,-2.77,1.86,7.14,5
Guatemala,Latin America,15.08,0.62,"$3,233.80",0.37,0.16,0.58,0.7,0.01,1.89,0.38,0.15,0.34,0.05,0.07,0.99,-0.9,1.09,1.91,5
Guinea,Africa,11.45,0.41,$459.09,0.39,0.32,0.45,0.16,0.05,1.41,0.35,0.75,0.64,0.3,0.04,2.09,0.68,0.81,0.67,5
Guinea-Bissau,Africa,1.66,0.42,$681.25,0.35,0.36,0.67,0.09,0.01,1.53,0.48,0.36,0.34,1.79,0.06,3.03,1.49,0.89,0.51,6
Guyana,Latin America,0.8,0.63,"$3,269.46",0.7,0.22,0.77,1.25,0.06,3.07,0.69,1.51,59.19,5.12,0.06,66.58,63.51,1.77,0.05,5
Haiti,Latin America,10.17,0.48,$749.13,0.27,0.04,0.1,0.15,0.01,0.61,0.18,0.03,0.01,0.01,0.03,0.27,-0.34,0.35,2.28,6
Honduras,Latin America,7.94,0.61,"$2,269.51",0.28,0.25,0.5,0.6,0,1.68,0.33,0.26,0.89,0.23,0.06,1.77,0.09,0.97,0.95,3B
Hungary,European Union,9.98,0.82,"$13,964.20",0.42,0.08,0.36,1.9,0.02,2.92,1.28,0.06,0.69,0,0.13,2.17,-0.75,1.69,1.34,5
India,Asia-Pacific,1236.69,0.6,"$1,513.85",0.34,0.01,0.14,0.61,0.02,1.16,0.35,0,0.02,0.03,0.05,0.45,-0.71,0.67,2.55,6
Indonesia,Asia-Pacific,246.86,0.68,"$3,688.53",0.44,0.03,0.2,0.64,0.21,1.58,0.46,0.06,0.3,0.38,0.06,1.26,-0.32,0.91,1.25,6
"Iran, Islamic Republic of",Middle East/Central Asia,76.42,0.76,"$7,511.10",0.69,0.09,0.07,1.72,0.12,2.79,0.48,0.07,0.06,0.19,0.09,0.9,-1.89,1.61,3.1,3B
Iraq,Middle East/Central Asia,32.78,0.65,"$5,848.54",0.43,0.03,0.01,1.36,0.01,1.88,0.18,0.02,0.05,0,0.04,0.29,-1.59,1.09,6.58,3B
Ireland,European Union,4.58,0.91,"$52,853.60",1.08,0.49,0.46,3.22,0.18,5.57,0.84,0.76,0.5,1.49,0.13,3.73,-1.83,3.21,1.49,5
Israel,Middle East/Central Asia,7.64,0.89,"$33,718.90",0.89,0.22,0.36,4.59,0.07,6.22,0.22,0.01,0.03,0.02,0.08,0.35,-5.87,3.59,17.59,6
Italy,European Union,60.92,0.87,"$38,412.00",0.91,0.32,0.42,2.77,0.12,4.61,0.58,0.04,0.33,0.06,0.06,1.08,-3.53,2.66,4.28,6
Jamaica,Latin America,2.77,0.72,"$5,226.30",0.41,0.09,0.18,1.09,0.07,1.89,0.16,0,0.1,0.11,0.05,0.43,-1.46,1.09,4.39,3B
Japan,Asia-Pacific,127.25,0.89,"$46,201.60",0.53,0.1,0.27,3.69,0.33,5.02,0.16,0,0.35,0.1,0.1,0.72,-4.3,2.9,7.01,6
Jordan,Middle East/Central Asia,7.01,0.75,"$4,615.17",0.54,0.18,0.17,1.09,0.03,2.1,0.09,0.02,0.03,0,0.07,0.21,-1.89,1.21,9.91,5
Kazakhstan,Middle East/Central Asia,16.27,0.78,"$11,278.00",0.58,0.19,0.12,4.59,0.03,5.55,1.14,1.93,0.24,0.06,0.03,3.41,-2.14,3.2,1.63,3L
Kenya,Africa,43.18,0.54,"$1,062.11",0.25,0.23,0.27,0.2,0.05,1.03,0.2,0.24,0.02,0.02,0.04,0.51,-0.52,0.6,2.02,5
"Korea, Democratic People's Republic of",Asia-Pacific,24.76,,,0.28,0,0.14,0.68,0.02,1.17,0.24,0,0.21,0.09,0.06,0.6,-0.57,0.67,1.94,6
"Korea, Republic of",Asia-Pacific,49,0.89,"$24,155.80",0.71,0.12,0.21,4.17,0.41,5.69,0.13,0,0.09,0.4,0.06,0.68,-5.01,3.29,8.36,5
Kuwait,Middle East/Central Asia,3.25,0.82,"$41,830.50",0.55,0.24,0.21,6.89,0.09,8.13,0.02,0.01,0,0.37,0.15,0.55,-7.58,4.7,14.68,3L
Kyrgyzstan,Middle East/Central Asia,5.47,0.65,"$1,116.37",0.59,0.18,0.09,0.95,0.01,1.91,0.47,0.63,0.06,0.05,0.08,1.3,-0.61,1.1,1.47,3B
Lao People's Democratic Republic,Asia-Pacific,6.65,0.56,"$1,236.24",0.57,0.08,0.36,0.09,0.01,1.22,0.57,0.13,0.78,0.03,0.11,1.62,0.4,0.7,0.75,6
Latvia,European Union,2.06,0.81,"$13,732.00",2.28,0.09,2.02,1.66,0.11,6.29,3.1,0.31,4.08,1.93,0.13,9.55,3.26,3.63,0.66,5
Lebanon,Middle East/Central Asia,4.65,0.76,"$9,143.86",0.67,0.3,0.25,2.52,0.05,3.84,0.16,0.04,0.06,0.01,0.06,0.33,-3.51,2.22,11.7,6
Lesotho,Africa,2.05,0.48,"$1,338.42",0.22,0.49,0.42,0.51,0,1.66,0.04,0.74,0,0,0.01,0.78,-0.87,0.96,2.11,3B
Liberia,Africa,4.19,0.42,$397.38,0.23,0.03,0.75,0.14,0.03,1.21,0.15,0.61,1.45,0.32,0.03,2.57,1.35,0.7,0.47,3B
Libyan Arab Jamahiriya,Africa,6.16,0.74,"$5,859.43",0.79,0.32,0.14,2.33,0.1,3.69,0.17,0.23,0.02,0.25,0.02,0.7,-3,2.13,5.3,3B
Lithuania,European Union,3.03,0.83,"$14,373.70",1.89,0.21,1.28,2.15,0.16,5.83,3.03,0.11,2.09,0.3,0.15,5.67,-0.17,3.37,1.03,5
Luxembourg,European Union,0.52,0.89,"$114,665.00",1.1,0.76,1.03,12.65,0.13,15.82,0.57,0.08,0.89,0,0.14,1.68,-14.14,9.14,9.44,5
Macedonia TFYR,Northern/Eastern Europe,2.11,0.74,"$5,174.89",0.62,0.21,0.31,2.06,0.03,3.26,0.38,0.17,0.92,0.02,0.02,1.51,-1.75,1.88,2.16,6
Madagascar,Africa,22.29,0.51,$456.33,0.27,0.34,0.24,0.07,0.02,0.99,0.26,1.3,0.8,0.21,0.06,2.63,1.64,0.57,0.38,6
Malawi,Africa,15.91,0.43,$493.84,0.43,0.05,0.2,0.07,0.01,0.81,0.45,0.07,0.02,0.06,0.05,0.66,-0.15,0.47,1.22,5
Malaysia,Asia-Pacific,29.24,0.77,"$10,252.60",0.67,0.12,0.38,2.1,0.36,3.71,0.75,0.01,0.73,0.84,0.07,2.41,-1.3,2.14,1.54,3B
Mali,Africa,14.85,0.41,$741.22,0.52,0.66,0.17,0.1,0.03,1.53,0.51,0.71,0.25,0.05,0.06,1.58,0.05,0.88,0.97,6
Martinique,Latin America,0.4,,,0.13,0.02,0.12,1.73,0.04,2.08,0.13,0.02,0.1,0.09,0.04,0.39,-1.7,1.2,5.41,3B
Mauritania,Africa,3.8,0.5,"$1,524.39",0.39,1.2,0.21,0.55,0.15,2.54,0.1,2.91,0.05,1.38,0.04,4.48,1.93,1.47,0.57,3B
Mauritius,Africa,1.24,0.77,"$8,811.15",0.52,0.22,0.18,1.99,0.55,3.46,0.14,0,0.01,0.56,0,0.71,-2.75,2,4.89,5
Mexico,Latin America,120.85,0.75,"$10,123.90",0.55,0.24,0.25,1.74,0.06,2.89,0.37,0.24,0.47,0.14,0.05,1.27,-1.62,1.67,2.27,5
Moldova,Northern/Eastern Europe,3.51,0.68,"$1,971.03",0.43,0.08,0.15,1.03,0.06,1.78,0.59,0.07,0.1,0.01,0.03,0.8,-0.98,1.03,2.23,5
Mongolia,Asia-Pacific,2.8,0.71,"$3,736.07",0.29,3.47,0.17,2.09,0,6.08,0.21,8.23,7.03,0.14,0.05,15.66,9.58,3.51,0.39,3B
Montenegro,Northern/Eastern Europe,0.62,0.8,"$7,251.60",0.64,0.33,0.62,2.13,0.05,3.78,0.14,0.22,2.63,0.24,0.01,3.24,-0.54,2.19,1.17,5
Montserrat,Latin America,0,,,,,,,,7.78,,,,,,1.36,-6.42,4.49,5.71,2
Morocco,Africa,32.52,0.62,"$3,149.43",0.6,0.17,0.14,0.67,0.06,1.68,0.34,0.17,0.1,0.07,0.03,0.71,-0.96,0.97,2.35,5
Mozambique,Africa,25.2,0.41,$538.82,0.31,0.03,0.29,0.17,0.03,0.87,0.28,0.96,0.61,0.17,0.05,2.06,1.19,0.5,0.42,5
Myanmar,Asia-Pacific,52.8,0.53,"$1,117.58",0.8,0.01,0.32,0.09,0.1,1.43,0.88,0,0.56,0.28,0.11,1.84,0.41,0.83,0.78,6
Namibia,Africa,2.26,0.62,"$5,880.80",0.33,0.23,0.17,1.02,0.72,2.48,0.14,1.6,0.36,4.76,0.02,6.88,4.4,1.43,0.36,3L
Nauru,Asia-Pacific,0.01,,,,,,,,2.94,,,,,,0.19,-2.76,1.7,15.83,2
Nepal,Asia-Pacific,27.47,0.54,$700.07,0.43,0.07,0.21,0.16,0,0.98,0.37,0.05,0.06,0.01,0.11,0.59,-0.38,0.56,1.65,6
Netherlands,European Union,16.71,0.92,"$53,589.90",0.76,0.58,0.38,3.23,0.16,5.28,0.45,0.04,0.08,0.43,0.17,1.17,-4.11,3.05,4.53,6
New Caledonia,Asia-Pacific,0.25,,,0.68,0.62,0.18,1.78,0.32,3.58,0.07,0.31,1.94,5.35,0,7.67,4.09,2.07,0.47,3L
New Zealand,Asia-Pacific,4.46,0.91,"$37,488.30",0.63,0.23,1.08,2.84,0.7,5.6,0.51,2.7,5.95,0.86,0.13,10.14,4.54,3.23,0.55,3B
Nicaragua,Latin America,5.99,0.63,"$1,626.85",0.34,0.12,0.42,0.45,0.03,1.39,0.4,0.58,0.74,0.49,0.05,2.25,0.87,0.8,0.62,5
Niger,Africa,17.16,0.34,$410.91,0.67,0.48,0.26,0.1,0.02,1.56,0.65,0.51,0.05,0,0.03,1.24,-0.32,0.9,1.26,5
Nigeria,Africa,168.83,0.5,"$2,612.12",0.53,0.1,0.19,0.21,0.08,1.16,0.5,0.12,0.02,0.02,0.05,0.7,-0.47,0.67,1.67,5
Norway,Northern/Eastern Europe,4.99,0.94,"$100,172.00",,,,,,4.98,,,,,,8.18,3.19,2.88,0.61,4
Oman,Middle East/Central Asia,3.31,0.79,"$22,622.80",0.57,0.4,0.15,5.8,0.4,7.52,0.07,0.04,0,1.61,0.19,1.92,-5.6,4.34,3.93,3B
Pakistan,Asia-Pacific,179.16,0.53,"$1,218.60",0.27,0.01,0.08,0.38,0.02,0.79,0.26,0,0.01,0.04,0.03,0.35,-0.44,0.46,2.28,6
Panama,Latin America,3.8,0.77,"$8,410.77",0.36,0.4,0.19,1.44,0.37,2.79,0.14,0.43,1.74,0.6,0.02,2.94,0.15,1.61,0.95,3B
Papua New Guinea,Asia-Pacific,7.17,0.5,"$1,871.21",0.3,0.05,0.36,0.35,0.73,1.91,0.36,0.04,2.66,0.73,0.13,3.92,2.01,1.1,0.49,3B
Paraguay,Latin America,6.69,0.67,"$3,557.31",1.11,1.1,0.83,0.97,0.01,4.16,2.51,2.28,5.54,0.05,0.14,10.52,6.36,2.4,0.4,3B
Peru,Latin America,29.99,0.73,"$5,684.73",0.5,0.51,0.19,0.67,0.33,2.28,0.36,0.51,2.82,0.2,0.07,3.97,1.69,1.32,0.57,6
Philippines,Asia-Pacific,96.71,0.66,"$2,379.44",0.36,0.03,0.09,0.34,0.23,1.1,0.32,0.02,0.09,0.07,0.05,0.54,-0.56,0.64,2.03,5
Poland,European Union,38.21,0.84,"$13,769.50",0.84,0.04,0.78,2.64,0.05,4.44,1.05,0.07,0.77,0.11,0.09,2.08,-2.36,2.57,2.14,6
Portugal,European Union,10.6,0.83,"$23,217.30",1.03,0.25,0.09,2.15,0.31,3.88,0.47,0.06,0.85,0.07,0.05,1.51,-2.37,2.24,2.57,5
Qatar,Middle East/Central Asia,2.05,0.85,"$99,431.50",0.57,0.27,0.15,9.57,0.19,10.8,0.01,0,0,1.17,0.06,1.24,-9.56,6.24,8.72,3L
Réunion,Africa,0.86,,,0.14,0.01,0.15,3.27,0.09,3.65,0.14,0.01,0.04,0,0,0.18,-3.47,2.11,20.18,5
Romania,European Union,21.76,0.79,"$9,213.94",0.72,0.05,0.33,1.46,0.03,2.71,0.87,0.11,1.14,0.08,0.12,2.32,-0.39,1.56,1.17,5
Russian Federation,Northern/Eastern Europe,143.17,0.79,"$13,320.20",0.77,0.15,0.67,3.87,0.19,5.69,0.85,0.34,4.38,1.19,0.03,6.79,1.1,3.29,0.84,6
Rwanda,Africa,11.46,0.48,$628.08,0.43,0.05,0.25,0.07,0.01,0.87,0.42,0.05,0.01,0.01,0.05,0.54,-0.32,0.5,1.6,5
Saint Kitts and Nevis,Latin America,0.05,0.74,"$12,952.50",0.51,0.18,0.09,3.34,0.81,4.94,0.06,0.01,0.17,0.38,0,0.62,-4.31,2.85,7.92,3L
Saint Lucia,Latin America,0.18,0.73,"$7,737.20",0.38,0.1,0.17,1.56,0.23,2.45,0.1,0,0.1,0.14,0,0.34,-2.1,1.41,7.12,3B
Saint Vincent and Grenadines,Latin America,0.11,0.72,"$6,171.48",,,,,,3.11,,,,,,1.26,-1.85,1.79,2.47,2
Samoa,Asia-Pacific,0.19,0.7,"$4,067.15",0.97,0.16,0.27,0.96,0.42,2.77,0.69,0.01,1.17,0.06,0,1.93,-0.85,1.6,1.44,3B
Sao Tome and Principe,Africa,0.19,0.55,"$1,384.53",0.36,0.02,0.27,0.37,0.47,1.49,0.25,0,0.22,0.4,0,0.87,-0.61,0.86,1.7,3B
Saudi Arabia,Middle East/Central Asia,28.29,0.83,"$23,593.80",0.74,0.27,0.27,4.21,0.08,5.61,0.09,0.12,0.07,0.18,0.04,0.5,-5.12,3.24,11.28,3L
Senegal,Africa,13.73,0.46,"$1,079.27",0.34,0.21,0.21,0.3,0.12,1.21,0.21,0.17,0.46,0.17,0.02,1.05,-0.16,0.7,1.16,5
Serbia,Northern/Eastern Europe,9.55,0.76,"$6,426.18",0.49,0.02,0.46,1.66,0.02,2.7,0.73,0.02,0.46,0,0.04,1.25,-1.44,1.56,2.15,5
Sierra Leone,Africa,5.98,0.4,$499.89,0.47,0.11,0.38,0.07,0.15,1.24,0.42,0.35,0.19,0.22,0.05,1.24,0,0.71,1,6
Singapore,Asia-Pacific,5.3,0.91,"$53,122.40",0.67,0.24,0.91,5.91,0.22,7.97,0,0,0,0.01,0.03,0.05,-7.92,4.61,159.47,5
Slovakia,European Union,5.45,0.84,"$18,103.10",0.31,0.08,0.72,2.82,0.03,4.06,0.71,0.06,1.85,0,0.09,2.71,-1.35,2.35,1.5,5
Slovenia,European Union,2.07,0.88,"$25,040.50",0.64,0.17,0.65,4.27,0.05,5.81,0.37,0.07,1.87,0,0.04,2.35,-3.47,3.36,2.48,6
Solomon Islands,Asia-Pacific,0.55,0.5,"$1,647.86",0.47,0.03,0.09,0,0.46,1.29,0.66,0.01,2.28,1.19,0.23,4.36,3.08,0.74,0.29,3L
Somalia,Africa,10.2,,,0.16,0.43,0.52,0.07,0.01,1.24,0.09,0.56,0.22,0.33,0.06,1.27,0.03,0.71,0.98,5
South Africa,Africa,52.39,0.66,"$8,089.87",0.44,0.11,0.29,2.34,0.08,3.31,0.35,0.58,0.02,0.17,0.04,1.15,-2.16,1.91,2.87,5
