"LOCATION","Country","SUBJECT","Subject","SEX","Sex","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,2466,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,2511,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,2559,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,2612,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,2664,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,2737,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,2805,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,2891,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,2987,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,3088,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,3218,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,3338,,
"AUS","Australia","YP99P3L1_ST","Population over 65","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,3456,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2000","2000","PC","Percentage","0","Units",,,20.721,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2001","2001","PC","Percentage","0","Units",,,20.54475,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2002","2002","PC","Percentage","0","Units",,,20.33855,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2003","2003","PC","Percentage","0","Units",,,20.13083,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2004","2004","PC","Percentage","0","Units",,,19.93679,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2005","2005","PC","Percentage","0","Units",,,19.7403,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2006","2006","PC","Percentage","0","Units",,,19.56873,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2007","2007","PC","Percentage","0","Units",,,19.43057,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2008","2008","PC","Percentage","0","Units",,,19.29973,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2009","2009","PC","Percentage","0","Units",,,19.16836,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2010","2010","PC","Percentage","0","Units",,,19.05864,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2011","2011","PC","Percentage","0","Units",,,18.95255,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2012","2012","PC","Percentage","0","Units",,,18.92379,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2013","2013","PC","Percentage","0","Units",,,18.9008,,
"AUS","Australia","YP99P1PP_ST","Population under 15 as % population","TT","All persons","A","Annual","2014","2014","PC","Percentage","0","Units",,,18.82849,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2000","2000","PC","Percentage","0","Units",,,66.85059,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2001","2001","PC","Percentage","0","Units",,,66.90013,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2002","2002","PC","Percentage","0","Units",,,67.01718,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2003","2003","PC","Percentage","0","Units",,,67.13656,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2004","2004","PC","Percentage","0","Units",,,67.2252,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2005","2005","PC","Percentage","0","Units",,,67.31427,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2006","2006","PC","Percentage","0","Units",,,67.40501,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2007","2007","PC","Percentage","0","Units",,,67.42846,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2008","2008","PC","Percentage","0","Units",,,67.49965,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2009","2009","PC","Percentage","0","Units",,,67.50415,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2010","2010","PC","Percentage","0","Units",,,67.3838,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2011","2011","PC","Percentage","0","Units",,,67.22919,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2012","2012","PC","Percentage","0","Units",,,66.92186,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2013","2013","PC","Percentage","0","Units",,,66.66522,,
"AUS","Australia","YP99P2PP_ST","Population 15-64 as % population","TT","All persons","A","Annual","2014","2014","PC","Percentage","0","Units",,,66.4595,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2000","2000","PC","Percentage","0","Units",,,12.42314,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2001","2001","PC","Percentage","0","Units",,,12.54994,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2002","2002","PC","Percentage","0","Units",,,12.6494,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2003","2003","PC","Percentage","0","Units",,,12.73262,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2004","2004","PC","Percentage","0","Units",,,12.83801,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2005","2005","PC","Percentage","0","Units",,,12.94543,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2006","2006","PC","Percentage","0","Units",,,13.02626,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2007","2007","PC","Percentage","0","Units",,,13.14096,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2008","2008","PC","Percentage","0","Units",,,13.20062,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2009","2009","PC","Percentage","0","Units",,,13.32749,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2010","2010","PC","Percentage","0","Units",,,13.55755,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2011","2011","PC","Percentage","0","Units",,,13.82274,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2012","2012","PC","Percentage","0","Units",,,14.15875,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2013","2013","PC","Percentage","0","Units",,,14.43397,,
"AUS","Australia","YP99P3PP_ST","Population 65 and over as % population","TT","All persons","A","Annual","2014","2014","PC","Percentage","0","Units",,,14.71202,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2000","2000","IDX","Index","0","Units","2010_100","2010=100",86.36983,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2001","2001","IDX","Index","0","Units","2010_100","2010=100",87.48638,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2002","2002","IDX","Index","0","Units","2010_100","2010=100",88.48493,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2003","2003","IDX","Index","0","Units","2010_100","2010=100",89.51071,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2004","2004","IDX","Index","0","Units","2010_100","2010=100",90.47295,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2005","2005","IDX","Index","0","Units","2010_100","2010=100",91.58043,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2006","2006","IDX","Index","0","Units","2010_100","2010=100",92.82407,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2007","2007","IDX","Index","0","Units","2010_100","2010=100",94.53522,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2008","2008","IDX","Index","0","Units","2010_100","2010=100",96.44608,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2009","2009","IDX","Index","0","Units","2010_100","2010=100",98.45679,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2010","2010","IDX","Index","0","Units","2010_100","2010=100",100,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2011","2011","IDX","Index","0","Units","2010_100","2010=100",101.398,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2012","2012","IDX","Index","0","Units","2010_100","2010=100",103.159,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2013","2013","IDX","Index","0","Units","2010_100","2010=100",104.9655,,
"AUS","Australia","YG9901L1_IXOB","Population, Index","TT","All persons","A","Annual","2014","2014","IDX","Index","0","Units","2010_100","2010=100",106.6222,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,9549.379,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,9716.561,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,9865.534,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,10038.74,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,10155.41,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,10455.08,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,10683.72,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,10964.12,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,11258.63,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,11498.82,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,11687.23,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,11877.2,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,12029.51,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,12193.21,,
"AUS","Australia","YT99TLL1_ST","Total labour force","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,12335.84,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,8952.625,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,9064.796,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,9240.535,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,9446.537,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,9610.361,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,9931.487,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,10175.23,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,10486.51,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,10784.17,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,10862.58,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,11081.24,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,11276.89,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,11404.44,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,11506.76,,
"AUS","Australia","YT99TEL1_ST","Total employment","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,11590.13,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,596.7537,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,651.7646,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,624.9985,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,592.2021,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,545.0514,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,523.5905,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,508.4875,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,477.6078,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,474.4643,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,636.2413,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,605.9849,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,600.3173,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,625.0701,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,686.455,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,745.7142,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,758.1833,,
"AUS","Australia","YT99UNL1_ST","Unemployment","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,724.4113,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,50.893,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,49.781,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,50.269,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,50,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,52,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,50.854,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,51,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,52.238,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,53,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,57,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,59,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,62,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,57,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,56,,
"AUS","Australia","YT99ARL1_ST","Armed forces","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,58,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,9498.486,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,9666.779,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2002","2002","PER","Persons","3","Thousands",,,9815.265,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2003","2003","PER","Persons","3","Thousands",,,9988.739,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2004","2004","PER","Persons","3","Thousands",,,10103.41,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2005","2005","PER","Persons","3","Thousands",,,10404.22,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2006","2006","PER","Persons","3","Thousands",,,10632.72,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2007","2007","PER","Persons","3","Thousands",,,10911.88,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2008","2008","PER","Persons","3","Thousands",,,11205.63,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2009","2009","PER","Persons","3","Thousands",,,11441.82,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2010","2010","PER","Persons","3","Thousands",,,11628.23,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2011","2011","PER","Persons","3","Thousands",,,11815.2,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2012","2012","PER","Persons","3","Thousands",,,11972.51,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2013","2013","PER","Persons","3","Thousands",,,12137.21,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2014","2014","PER","Persons","3","Thousands",,,12277.84,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2015","2015","PER","Persons","3","Thousands",,,12509.21,,
"AUS","Australia","YT99CLL1_ST","Civilian Labour force","TT","All persons","A","Annual","2016","2016","PER","Persons","3","Thousands",,,12660.15,,
"AUS","Australia","YT99CEL1_ST","Civilian employment","TT","All persons","A","Annual","2000","2000","PER","Persons","3","Thousands",,,8901.732,,
"AUS","Australia","YT99CEL1_ST","Civilian employment","TT","All persons","A","Annual","2001","2001","PER","Persons","3","Thousands",,,9015.015,,
